"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","waga","wolne_miejsca"
"4547","bfdf7121a4e87bcc0ba60121018f95e51c80d195","D",2,24,7,1,3
"4548","3966620f852b9083365d6bfabff25edcf90986c2","D",2,6,8,1,7
"4549","f7c74a9b6421fc2c45a3861bda5a1e3e85f0759c","D",2,24,4,1,8
"4550","03f8bd8c60f098eeca06bb0b6d6d7aea5eeca4ad","S",2,14,2,10,2
"4551","fa913e5431f8ae80a2cd0b75513653e0e27e21fb","S",2,28,9,2,3
"4552","0782b7bf80848308375b10101f6d41a1db833f75","D",2,8,7,1,4
"4553","0782b7bf80848308375b10101f6d41a1db833f75","D",2,8,8,1,6
"4554","638545bd7a3e0e6ffbd92aa8dc15db0da10bd5af","D",2,30,1,1,7
"4555","dcecde9454f705249b3cc50ee20067a7bbc8b343","D",2,14,3,1,3
"4556","dcecde9454f705249b3cc50ee20067a7bbc8b343","D",2,14,4,1,2
"4557","8c708f01c83cf4475924b943596bc5715b6b27d4","M",2,14,2,21,4
"4558","8c708f01c83cf4475924b943596bc5715b6b27d4","M",2,14,5,21,4
"4559","812281564fa304ac91f20c45e9dd12543bef8c5f","D",2,14,1,1,4
"4560","812281564fa304ac91f20c45e9dd12543bef8c5f","D",2,14,2,1,8
"4561","812281564fa304ac91f20c45e9dd12543bef8c5f","D",2,14,3,1,4
"4562","812281564fa304ac91f20c45e9dd12543bef8c5f","D",2,14,4,1,6
"4563","1b65aac13d85f968309a0ab07d43e01655da0c2d","D",2,14,5,1,19
"4564","ed64264a9dd7ada5ce17d580796f756f9960ca1f","D",2,2,5,1,5
"4565","ed64264a9dd7ada5ce17d580796f756f9960ca1f","D",2,2,9,1,5
"4566","2c48df3a86186ac84b0118883a4c0bb2510c1f34","S",2,14,4,34,5
"4567","668f22f1669436fe2d4dc5a9e83f54481469403b","M",2,14,5,29,2
"4568","78ac3e2e1a1d9d0963c39100dd90789e9ad4e0ef","D",2,14,7,1,14
"4569","98b02c35053064250817822e0137aed6e486c8bf","S",2,14,2,20,6
"4570","f51e93b39aba04cca5ef7d1445cebd656b8d4da6","S",2,14,4,1,5
"4571","bdbe1764121d645e93db5daac81eed510dbc907c","D",2,22,1,1,4
"4572","bdbe1764121d645e93db5daac81eed510dbc907c","D",2,22,3,1,6
"4573","2a30b5addc0cc790319c1d4cd1219f0abb0fb269","D",2,24,2,1,7
"4574","b39237bee0f8ad93e4b78d8d9a9b4bd40ad7186c","D",2,10,4,1,11
"4575","42bc7439fedb5ec3905beb043c19a25e89503088","D",2,14,7,2,8
"4576","4d9fa191f74262d72d682a72d3c4582c04ce7859","M",2,14,7,3,6
"4577","6daebfa0c98bdb3996de2a485a97cf3b5c234db5","D",1,14,7,1,4
"4578","6daebfa0c98bdb3996de2a485a97cf3b5c234db5","D",1,14,8,1,4
"4579","511c7e32ce72436d23e594a3476b2565bf3b87f2","D",2,14,1,1,10
"4580","511c7e32ce72436d23e594a3476b2565bf3b87f2","D",2,14,2,1,112
"4581","c03403483db2ca26dc86d577476f5fcb6a423ceb","M",1,14,2,4,1
"4582","617e69d3da994b01804418430e31a794bc8f8942","D",2,2,4,1,3
