"","id_jednostki","klasa_pr","sek","woj","zawod_kod2","wolne_miejsca_cbop","jedna_zmiana"
"206","f63db8491bba13502308393e92f28e452f91c9b7","D",1,10,9,2,FALSE
"207","f79fac3f2fb675576ea8548f801a5ca082831f3b","D",1,4,5,1,TRUE
"208","6e19125b6ce6ab0ff761240c8fb9f91aab9079f0","D",1,30,3,2,FALSE
"209","a14c34ffce0fd330d06376b3b85663b4aa0557a4","D",1,30,3,1,FALSE
"210","9dccd1744e89788e5aa2aeddccede8d2dad2d26e","D",1,4,3,1,FALSE
"211","272cab15b9d202787968a230b230a2bce0d2158a","D",1,28,3,1,FALSE
"212","b8cbcf63d4000a9a68e8a425877d2ca40ac2537c","D",1,14,9,1,FALSE
"213","077eef427f8f408d68a77fca8d4113e51a82e8ab","D",1,14,9,1,TRUE
"214","a7c11a111f6af48893fa872a036288e0f779d19c","D",1,22,9,1,FALSE
"215","63ccaf9e2081b3e88f630ac6094d69222e01f2f4","D",1,4,3,1,TRUE
"216","7edea484da625efdff1047e8f6d9219fbf338bc9","D",1,20,3,1,TRUE
"217","7edea484da625efdff1047e8f6d9219fbf338bc9","D",1,20,9,1,FALSE
"218","7edea484da625efdff1047e8f6d9219fbf338bc9","D",1,20,9,1,TRUE
"219","cef8a50fd541037f98176a14ccdc771a1ce15fc0","D",1,6,9,2,FALSE
"220","385bc598b9ace13f7242a523776f31017a9121f1","S",1,22,3,1,TRUE
"221","8b995f51e06e78f23acdaf13d5e232657eaa6df3","S",1,16,2,1,TRUE
"222","33e5137c1e366809c6dd789f9d6980dfc6169ee1","D",1,10,3,1,TRUE
"223","46e002c631ffcdf3124a07fb7ad74bae993d8f8c","D",1,26,4,1,TRUE
"224","04b48748d649fd6762bdeb08edfee29029bf82dd","D",1,20,9,1,FALSE
"225","26a1241691ccd343ef8569a88a63000f8fda3b7c","S",1,30,2,1,TRUE
"226","394254042a83568e5a40bffa7f43cac3ed291dc0","D",1,30,5,1,FALSE
"227","394254042a83568e5a40bffa7f43cac3ed291dc0","D",1,30,8,1,FALSE
"228","c399c0b623a1f12e805853813bd933c288a17216","D",1,12,2,2,FALSE
"229","c399c0b623a1f12e805853813bd933c288a17216","D",1,12,2,1,TRUE
"230","c399c0b623a1f12e805853813bd933c288a17216","D",1,12,3,1,FALSE
"231","6269afde36a9feab717eac7b678e9e9d3aa5653e","D",1,6,5,1,FALSE
"232","f6948409313e1bb9336b44ed9396f99712a0c373","D",1,18,7,1,TRUE
"233","ca8397505bfa69c5e25e74f3c2842d08cf439eca","D",1,22,5,1,FALSE
"234","ca8397505bfa69c5e25e74f3c2842d08cf439eca","D",1,22,9,1,FALSE
"235","be8013dda12c9e493da4aa6be1981ba5434b76f1","D",1,28,4,1,TRUE
"236","be8013dda12c9e493da4aa6be1981ba5434b76f1","D",1,28,5,1,TRUE
"237","c27a22ec85faa44d28a9e270ee521a94aa09610d","D",1,28,9,1,FALSE
"238","02bfa50d5367fe8312b37f432b6e33680802bccf","D",1,30,2,1,TRUE
"239","71188806ffca9a08265ad5fba9337b5adc632674","D",1,10,3,1,TRUE
"240","cd45ee60112a7363d40c868040a30efbc28939a1","S",1,16,3,1,TRUE
"241","258932fd99ef5aeb66410631929eb10358cd3a76","D",1,24,7,1,FALSE
"242","acab18327a14641ffd69ab9854a3bcec645b8040","D",1,24,5,1,TRUE
"243","c4883450e2c52f1060d2650d1e90c0247aba1132","D",1,14,4,1,TRUE
"244","d04fbbbb845913f145e5bbc5a527db4d13741726","D",1,14,9,1,TRUE
"245","e70dfe8d4b74f0c8618ec3e4a768363b14c34297","D",1,32,5,1,FALSE
"246","e8da3e64eab89e843b44d84fe4f68219323a6fa2","S",1,2,2,1,TRUE
"247","e8da3e64eab89e843b44d84fe4f68219323a6fa2","S",1,2,5,1,TRUE
"248","17f6eac6d5be5fd22bde6c0bd8d52b62e6d64f2a","D",1,24,4,4,FALSE
"249","94f0532ec3a1a2d212d82f5f2c5c747846150022","D",1,30,3,1,TRUE
"250","06557221460641c0dfdf48f04ec0b5ace0c6f0d3","D",1,14,3,2,TRUE
"251","06557221460641c0dfdf48f04ec0b5ace0c6f0d3","D",1,14,4,1,TRUE
"252","60693621c82224d000eca6bd3af42a96edfb38dc","D",1,14,9,1,TRUE
"253","eccdf450b0587fd06f429f72432306f8b72997f7","M",1,10,2,1,TRUE
"254","60aad0192a4f9f659276ccad3a1583e6630eebfa","D",1,16,2,1,TRUE
"255","b225bbaa1eea46c11998986184505c607ce1db43","D",1,16,9,3,FALSE
"256","6678dea4682205217802305782590bab04b9aa8c","D",1,30,5,2,FALSE
"257","6678dea4682205217802305782590bab04b9aa8c","D",1,30,9,3,FALSE
"258","fc2734485b341f5c06b26114512da81f47dcc4b8","D",1,10,5,1,FALSE
"259","cd06b762d9b3d29cf4f460098ee3298fdda2acff","D",1,2,9,2,TRUE
"260","d1cfbeb8b0a59156ae92302d405186e35cdb30da","D",1,24,5,2,TRUE
"261","feb74b0d56586ce25f0314d51ee5fbbc2dd6b5d7","S",1,14,7,1,TRUE
"262","3d1f61e3a8671ebe291a8b0858daa223e70df858","D",1,2,1,1,TRUE
"263","3d1f61e3a8671ebe291a8b0858daa223e70df858","D",1,2,2,1,TRUE
"264","3d1f61e3a8671ebe291a8b0858daa223e70df858","D",1,2,3,1,TRUE
"265","b27cd45b3f5b5cd3bb697f3ef87b7a8a3a4329ba","D",1,4,3,1,FALSE
"266","b27cd45b3f5b5cd3bb697f3ef87b7a8a3a4329ba","D",1,4,5,1,FALSE
"267","1d43708d27a7b3d08fb40072e8441927fe4861ee","D",1,24,7,1,TRUE
"268","1d43708d27a7b3d08fb40072e8441927fe4861ee","D",1,24,9,2,FALSE
"269","19df4503166c4c52d61f05758d49a3df356bf76e","S",1,22,5,1,FALSE
